VIP等级,累积充值金额,竞技场每日次数购买限制,跨服竞技场每日次数购买限制,每天免费传承次数,星盘经验上限时间,星盘经验加速次数,法宝分解回收率,每日寻宝次数,体力每日购买次数,摇钱树每日次数,普通本免费真龙宝箱次数,精英本免费真龙宝箱次数,魔王本免费真龙宝箱次数,精英本购买次数上限,魔王本购买次数上限
level,rechargeValue,arena_buy_num_daily,cross_sever_arena_buy_num_daily,free_transfer_num,star_exp_hour,star_exp_num,decompose_talisman,treasure_num_daily,action_buy_num_daily,money_tree_num_daily,normal_dungeon_box_num,elite_dungeon_box_num,devil_dungeon_box_num,elite_dungeon_buy_limit,devil_dungeon_buy_limit
0,0,5,5,0,8,10,90,4,1,2,1,0,0,1,1
1,100,10,10,0,12,20,100,4,2,4,2,1,0,1,1
2,500,20,20,0,16,30,100,5,3,6,3,2,1,2,2
3,1000,30,30,1,20,40,100,5,4,8,4,3,1,3,3
4,2000,40,40,1,24,50,100,6,6,10,5,4,2,4,4
5,5000,50,50,1,24,60,100,6,8,20,6,5,2,5,5
6,10000,60,60,1,24,70,100,7,10,30,7,6,3,6,6
7,20000,70,70,1,24,80,100,7,20,50,8,7,3,8,8
8,50000,80,80,1,24,90,100,8,40,100,9,8,4,10,10
9,100000,90,90,1,24,100,100,8,60,150,10,10,5,12,12
10,200000,100,100,1,24,110,100,9,80,200,11,11,6,14,14
